"NOMOR";"JURUSAN";"KAJUR";"SEKJUR";"ALIAS";"JURUSAN_INGGRIS";"JURUSAN_LENGKAP"
1;"Teknik Elektronika";;;"Elka";"Electronics Engineering Program";"Teknik Elektronika"
2;"Teknik Telekomunikasi";;;"Telkom";"Telecommunications Engineering Program";"Teknik Telekomunikasi"
3;"Teknik Elektro Industri";;;"Elin";"Industrial Electrical Engineering Program";"Teknik Elektro Industri"
4;"Teknik Informatika";;;"IT";"Informatics Engineering Program";"Teknik Informatika"
5;"Teknik Mekatronika";;;"MK";"Mechatronics Engineering Program";"Teknik Mekatronika"
6;"Teknik Komputer";;;"TK";"Computer Engineering Program";"Teknik Komputer"
7;"Multimedia Broadcasting";;;"MM";"Multimedia Broadcasting Technology Program";"Teknologi Multimedia Broadcasting"
8;"Sistem Pembangkit Energi";;;"SPE";" Energy System Engineering Program";"Sistem Pembangkit Energi"
9;"Teknologi Game";;;"Game";"Game Technology Program";"Teknologi Game"
10;"Teknologi Rekayasa Internet";;;"TRI";"Internet Engineering Technology program";"Teknologi Rekayasa Internet"
11;"Teknologi Rekayasa Multimedia";;;"TRM";"Multimedia Engineering Technology program";"Teknologi Rekayasa Multimedia"
12;"Sains Data Terapan";;;"SDT";"Applied Data Science Program";"Sains Data Terapan"
13;"Teknik Elektro";;;"TElt";"";""
14;"Teknik Informatika dan Komputer";;;"TIK";"";""
15;"Sistem Siber Fisik";;;"SSF";"";""
