"NOMOR";"JALUR_PENERIMAAN";"ALIAS";"KODE_EPSBED"
1;"SNMPN/PMDK Berprestasi";"PMDK";"13"
2;"KIP-Kuliah/Bidik Misi";"BM";"13"
3;"SNMPTN/SNBP";"PMDK";"15"
4;"SIMANDIRI Utama / SIMANDIRI Gel 2";"MDR";"12"
5;"SBMPN";"UMPN";"13"
6;"Recognisi Pembelajaran Lampau(RPL) Lulusan PENS";"RPL Lulusan PENS";"12"
7;"D4 Lanjut Jenjang PJJ";"LJPJJ";"12"
8;"D3 PJJ CC (untuk lulusan D1 CC/AK)";"CCPJJ";"12"
9;"SBMPTN/SNBT";"SBMPTN/SNBT";"14"
10;"SIMANDIRI GELOMBANG 3";"MDR2";"12"
11;"Pascasarjana S2 Terapan Jalur Reguler";"PS1";"12"
12;"D4 LJ PJJ Poliban";"";"12"
13;"D4 LJ PJJ AKATEL";"";"12"
14;"D3 PJJ AK (untuk lulusan D2 AK)";"AKPJJ";"12"
15;"Kelas Ikatan Dinas PLN";"PLN";"11"
16;"Kelas Ikatan Dinas GMF";"GMF";"11"
17;"Pascasarjana S2 Terapan Jalur Reguler Gel 2";"PS2";"12"
18;"ADIK";"ADK";"13"
19;"SIMANDIRI GELOMBANG 4";"MDR3";"12"
20;"Program PJJ Gelombang 3 (untuk lulusan SMK/SMA/MA)";"FRPJJ";"12"
21;"Program PJJ (untuk lulusan SMK/SMA/MA)";"FRPJJ";"12"
22;"Program PJJ Gelombang 2 (untuk lulusan SMK/SMA/MA)";"FRPJJ";"12"
23;"D4 LJ PJJ Telekomunikasi kerjasama Poltekbang (Khusus Lulusan Poltekbang)";"BNPJJ";"11"
24;"D4 LJ PJJ Poltekbang Gel 2";"BNPJJ2";"11"
25;"Recognisi Pembelajaran Lampau (RPL) - Dari Jenjang D3 ke STr";"RPL";"12"
26;"Mahasiswa Luar Negeri";"";"12"
27;"PSDKU/PJJ Tempat Tes PSDKU Lamongan";"";"12"
28;"CBT PSDKU Sumenep";"";"12"
29;"D4PJJ Teknik Telekomunikasi (untuk lulusan SMK/SMA/MA)";"";"12"
30;"PSDKU/PJJ Tempat Tes PSDKU Lamongan Gel 2";"";"12"
31;"PSDKU/PJJ Tempat Tes PSDKU Sumenep Gel 2";"";"12"
32;"CBT PSDKU Mandiri gelombang 3";"";"12"
33;"Program PJJ Khusus WNI Luar Negeri (untuk lulusan SMK/SMA/MA)";"";"12"
34;"Pascasarjana S2 Terapan Jalur Reguler Gel 3";"PS3";"12"
35;"Pascasarjana KNB";"";"12"
36;"Recognisi Pembelajaran Lampau (RPL PJJ) - D2 ke D3, D3 ke STr";"RPL";"12"
37;"Pascasarjana S2 Terapan Jalur Riset";"PS1 Riset";"12"
38;"Pascasarjana S2 Terapan Jalur Riset Gel 2";"PS2 Riset";"12"
39;"SIMANDIRI PRESTASI / SIMANDIRI Gel 1";"MDR PRESTASI";"12"
40;"PJJ Golden Ticket";"PJJ GT";"12"
41;"Pascasarjana S2 Terapan Jalur Riset Gel 3";"PS3 Riset";"12"
42;"Pascasarjana S3 Terapan";"PSS3";"12"
43;"Recognisi Pembelajaran Lampau (RPL PJJ) - D2 ke D3";"RPL";"12"
44;"Pascasarjana S3 Terapan Gel 2";"PSS3";"12"
